"Filename","BPM","Key","Happy","Sad","Relaxed","Aggressive","Danceability"
2144014463.mp3,85,C major,0.360,0.807,0.687,0.227,1.000
2144300840.mp3,97,G major,0.314,0.967,0.800,0.194,0.199
2150729253.mp3,91,C major,0.066,0.999,0.983,0.034,0.138
2153075290.mp3,80,D minor,0.177,0.997,0.919,0.081,0.896
2154010590.mp3,132,B minor,0.132,0.984,0.877,0.137,0.150
2600858052.mp3,70,D minor,0.326,0.601,0.613,0.397,0.986
2600977448.mp3,128,Ab major,0.757,0.527,0.685,0.257,1.000
2601383452.mp3,108,C major,0.453,0.954,0.708,0.026,0.364
2601383751.mp3,138,Eb major,0.642,0.940,0.577,0.010,0.281
2601383819.mp3,68,F major,0.585,0.956,0.775,0.014,0.524
2601385194.mp3,69,C minor,0.364,0.977,0.764,0.017,0.114
2601591190.mp3,75,Eb minor,0.179,0.981,0.763,0.034,0.407
2601591205.mp3,85,Eb major,0.353,0.970,0.711,0.029,0.116
2601690897.mp3,107,B minor,0.396,0.906,0.637,0.087,0.926
2601692325.mp3,81,F# minor,0.413,0.941,0.823,0.260,0.864
2601952990.mp3,121,C major,0.403,0.911,0.605,0.204,0.658
2602034945.mp3,58,Bb minor,0.743,0.892,0.753,0.028,0.237
2603214387.mp3,136,D major,0.463,0.855,0.919,0.072,0.860
2603792606.mp3,84,F# minor,0.151,0.980,0.795,0.070,0.362
2604173154.mp3,118,D major,0.418,0.940,0.696,0.098,0.261
2604185750.mp3,100,F major,0.254,0.883,0.653,0.092,0.881
2605792494.mp3,139,B minor,0.440,0.634,0.688,0.147,0.556
2606860426.mp3,86,A major,0.087,0.981,0.848,0.106,0.577
2607015451.mp3,105,B minor,0.604,0.692,0.536,0.115,0.766
2607084761.mp3,91,F minor,0.539,0.726,0.592,0.327,0.581
2607235842.mp3,153,G major,0.081,0.988,0.961,0.052,0.090
2607253625.mp3,56,B minor,0.215,0.978,0.792,0.099,0.320
2607364466.mp3,123,Bb minor,0.451,0.824,0.594,0.234,0.980
2607367451.mp3,85,E minor,0.605,0.742,0.464,0.216,0.963
2608451732.mp3,119,Eb major,0.582,0.802,0.477,0.347,0.978
2608451743.mp3,118,F major,0.424,0.891,0.601,0.151,0.999
2608451745.mp3,100,Eb minor,0.613,0.602,0.420,0.152,0.888
2608552933.mp3,96,A major,0.188,0.984,0.817,0.029,0.039
2608811317.mp3,77,D minor,0.629,0.929,0.758,0.033,1.000
2608879610.mp3,125,Ab major,0.700,0.653,0.492,0.082,1.000
2609274589.mp3,120,Bb major,0.396,0.888,0.741,0.081,0.631
2609999320.mp3,146,E minor,0.507,0.377,0.331,0.782,0.831
2611051361.mp3,110,C major,0.047,0.997,0.928,0.077,0.137
2611260663.mp3,134,F major,0.541,0.930,0.658,0.065,0.744
2611628466.mp3,85,Ab major,0.155,0.980,0.850,0.039,0.279
2611683739.mp3,81,A major,0.045,0.972,0.853,0.078,0.145
2611736170.mp3,85,F# major,0.345,0.963,0.775,0.049,0.137
2612106540.mp3,142,Eb major,0.168,0.978,0.802,0.099,0.589
2613173790.mp3,73,E major,0.281,0.980,0.702,0.045,0.330
2613446321.mp3,142,G minor,0.209,0.980,0.882,0.047,0.093
2613603073.mp3,128,Eb major,0.758,0.326,0.508,0.324,0.987
2613746228.mp3,106,D major,0.624,0.871,0.713,0.020,0.826
2614110340.mp3,128,E major,0.453,0.444,0.505,0.575,0.994
2614514438.mp3,109,D major,0.203,0.943,0.775,0.266,0.949
2614540987.mp3,139,Ab major,0.627,0.649,0.552,0.064,0.924
